company,category,location,fit_tier,offers_qualifying_internship,intern_role_types,ats,board_token_or_url,early_opener,class_year_sensitive,typical_open_window,current_status,current_posting_url,last_checked,notes
California Energy Commission,utility,Bay-adjacent (Sacramento),B,unknown,"policy, analyst",manual,https://www.energy.ca.gov/about/careers,false,false,,unknown,,2026-08-24,State agency; CalCareers/student assistant tracks. Manual check.
Central Coast Community Energy (3CE),CCA,Bay-adjacent (Monterey),B,unknown,"analyst, policy",manual,https://3ce.org/careers/,false,false,,unknown,,2026-08-24,Location borderline; verify remote/hybrid.
Clean Power Alliance,CCA,LA,B,unknown,"analyst, policy, data",manual,https://cleanpoweralliance.org/careers/,false,false,,unknown,,2026-08-24,Verify ATS.
Congruent Ventures,investing,SF,B,unknown,"analyst, research",manual,https://www.congruentvc.com/,false,false,,unknown,,2026-08-24,Small VC; internships rare and informal. Manual check.
Crusoe,carbon-software,SF / Denver,B,unknown,"analyst, data, business",greenhouse,crusoeenergy,false,false,,unknown,,2026-08-24,Data-center energy; engineering-heavy — watch for analyst/business tracks. Candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Crux,ai-energy,NY,B,unknown,"analyst, finance, data",ashby,crux,false,false,,unknown,,2026-08-24,"Clean-energy tax-credit marketplace, finance/data fit. Candidate Ashby token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24"
David Energy,ai-energy,NY,B,unknown,"analyst, data, markets",greenhouse,davidenergy,false,false,,unknown,,2026-08-24,Retail energy + software; candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
DNV,consulting,Bay Area,B,unknown,"analyst, energy",manual,https://www.dnv.com/careers/,false,false,,unknown,,2026-08-24,Verify ATS (Workday likely).
Energy Impact Partners,investing,NY / SF,B,unknown,"analyst, finance, research",manual,https://www.energyimpactpartners.com/careers/,false,false,,unknown,,2026-08-24,Energy-focused investment platform. Verify ATS.
Energy Solutions,consulting,Bay (Oakland),B,unknown,"analyst, data",greenhouse,energysolutions,false,false,,closed,,2026-08-24,Candidate Greenhouse token — verify.
Environmental Defense Fund,nonprofit-policy,SF / NY,B,unknown,"policy, analyst, research",manual,https://www.edf.org/jobs,false,false,,unknown,,2026-08-24,Large NGO; verify ATS.
Fervo Energy,nuclear-fusion,SF,B,unknown,"analyst, finance, business",greenhouse,fervoenergy,false,false,,unknown,,2026-08-24,Geothermal; watch for analyst/finance/commercial roles. Candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
G2 Venture Partners,investing,Bay Area,B,unknown,"analyst, research",manual,https://www.g2vp.com/,false,false,,unknown,,2026-08-24,Small VC; internships rare. Manual check.
Galvanize Climate Solutions,investing,SF,B,unknown,"analyst, finance, research",manual,https://www.galvanizeclimate.com/careers,false,false,,unknown,,2026-08-24,Climate investment firm; also hosts a portfolio job board. Verify ATS.
Google (energy / sustainability / Google.org),big-tech,Bay Area,B,unknown,"analyst, data, business, sustainability",manual,https://www.google.com/about/careers/applications/jobs/results/?q=intern%20energy,true,false,opens early (often Aug-Oct) for following summer,unknown,,2026-08-24,Custom careers site; huge structured intern program. Manual check; filter to non-eng energy/sustainability tracks.
Guidehouse,consulting,remote / multiple,B,unknown,"analyst, sustainability, energy",manual,https://guidehouse.com/careers,false,false,,unknown,,2026-08-24,Verify ATS (iCIMS/Workday).
ICF,consulting,remote / multiple,B,unknown,"analyst, policy, data",manual,https://careers.icf.com/us/en,false,false,,unknown,,2026-08-24,Large Workday careers site; verify tenant for Workday adapter.
LADWP,utility,LA,B,unknown,"analyst, data, policy",manual,https://www.ladwp.com/careers,false,false,,unknown,,2026-08-24,Municipal utility; civil-service style hiring. Manual check.
Meta (infrastructure / energy),big-tech,Bay Area,B,unknown,"analyst, data, business",manual,https://www.metacareers.com/jobs?q=energy%20intern,true,false,opens early for summer,unknown,,2026-08-24,Custom careers site. Manual check; target data-center energy / sustainability analyst roles.
Microsoft (energy),big-tech,remote / Bay Area,B,unknown,"analyst, data, business",manual,https://careers.microsoft.com/v2/global/en/students,true,false,opens early for summer,unknown,,2026-08-24,Custom careers site; energy/sustainability teams. Manual check.
Next 10,nonprofit-policy,SF,B,unknown,"research, analyst, policy",manual,https://www.next10.org/about,false,false,,unknown,,2026-08-24,Small nonprofit; internships informal. Manual check.
NRDC,nonprofit-policy,SF / LA / NY,B,unknown,"policy, analyst, research",manual,https://www.nrdc.org/careers,false,false,,unknown,,2026-08-24,Large NGO; verify ATS.
NVIDIA (data-center energy),big-tech,Bay (Santa Clara),B,unknown,"analyst, data, business",manual,https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/,true,false,,unknown,,2026-08-24,Engineering-heavy; watch for data-center energy analyst/business roles. Manual check.
Oklo,nuclear-fusion,Bay (Santa Clara),B,unknown,"finance, policy, analyst, business",lever,oklo,false,false,,unknown,,2026-08-24,Public company; likely finance/policy/analyst roles despite nuclear focus. Candidate Lever token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Persefoni,carbon-software,remote,B,unknown,"analyst, data",greenhouse,persefoni,false,false,,unknown,,2026-08-24,Carbon accounting; candidate Greenhouse token — verify. Remote acceptable.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
PG&E,utility,Bay (Oakland),B,unknown,"analyst, data, business, finance",manual,https://www.pgecareers.com/,true,false,large structured program; often opens fall for summer,unknown,,2026-08-24,Large structured intern program. Verify ATS (Workday/Phenom).
Powerhouse Ventures,investing,Bay (Oakland),B,unknown,"analyst, research",manual,https://www.powerhouse.fund/,false,false,,unknown,,2026-08-24,Energy/climate VC + innovation firm. Manual check.
Prelude Ventures,investing,SF,B,unknown,"analyst, research",manual,https://www.preludeventures.com/,false,false,,unknown,,2026-08-24,Small climate VC. Manual check.
Salesforce (sustainability),big-tech,SF,B,unknown,"analyst, data, business",manual,https://careers.salesforce.com/en/jobs/?search=intern%20sustainability,true,false,,unknown,,2026-08-24,Futureforce intern program; Net Zero / sustainability teams. Manual check.
Silicon Valley Clean Energy,CCA,Bay (Sunnyvale),B,unknown,"analyst, data",manual,https://www.svcleanenergy.org/careers/,false,false,,unknown,,2026-08-24,Verify ATS.
Sonoma Clean Power,CCA,Bay (Santa Rosa),B,unknown,"analyst, policy",manual,https://sonomacleanpower.org/careers,false,false,,unknown,,2026-08-24,Verify ATS.
Southern California Edison,utility,LA (Rosemead),B,unknown,"analyst, data, business",manual,https://www.edison.com/home/careers.html,true,false,opens fall for summer,unknown,,2026-08-24,Structured program; verify ATS.
Station A,ai-energy,SF,B,unknown,"analyst, data",greenhouse,stationa,false,false,,unknown,,2026-08-24,Clean-energy marketplace; candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Sylvera,carbon-software,NY / London,B,unknown,"analyst, data, research",greenhouse,sylvera,false,false,,unknown,,2026-08-24,Carbon-credit ratings; candidate Greenhouse token — verify. Prefer NY over London.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Tesla Energy,big-tech,Bay (Palo Alto / Fremont),B,unknown,"analyst, data, business",manual,https://www.tesla.com/careers/search/?type=3,true,false,,unknown,,2026-08-24,Engineering-heavy; watch specifically for Energy analyst / operations roles. Manual check.
Union of Concerned Scientists,nonprofit-policy,Bay (Oakland),B,unknown,"policy, analyst, research",manual,https://www.ucsusa.org/about/jobs,false,false,,unknown,,2026-08-24,Verify ATS.
WattTime,ai-energy,Bay (Oakland),B,unknown,"analyst, data, research",lever,watttime,false,false,,unknown,,2026-08-24,Nonprofit; candidate Lever token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Wood Mackenzie (Verisk),consulting,remote / NY,B,unknown,"analyst, markets, data",manual,https://www.woodmac.com/careers/,false,false,,unknown,,2026-08-24,Verify ATS (Workday likely).
Antora Energy,nuclear-fusion,Bay (San Jose),C,unknown,"business, ops, finance",greenhouse,antoraenergy,false,false,,unknown,,2026-08-24,Thermal storage; engineering-heavy (Tier C). Include only if non-eng role found. Candidate Greenhouse token — verify.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Kairos Power,nuclear-fusion,Bay (Alameda),C,yes,"business, finance, ops",greenhouse,kairospower,false,false,,open,https://job-boards.greenhouse.io/kairospower/jobs/6122803004,2026-08-24,Engineering-heavy (Tier C). Include ONLY if a non-eng business/data/policy role is found. Candidate Greenhouse token — verify.
Marathon Fusion,nuclear-fusion,SF,C,unknown,"business, ops",manual,https://www.marathonfusion.com/careers,false,false,,unknown,,2026-08-24,Very early-stage fusion (Tier C). Likely engineering-only; verify before including.
Radiant,nuclear-fusion,LA (El Segundo),C,unknown,"business, finance, ops",greenhouse,radiantnuclear,false,false,,unknown,,2026-08-24,Microreactor startup (Tier C). Candidate Greenhouse token — verify; include only if non-eng role found.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
Sierra Club,nonprofit-policy,Bay (Oakland),C,unknown,"policy, research",manual,https://www.sierraclub.org/careers,false,false,,unknown,,2026-08-24,Tier C; include only if analytics/policy intern role found. Verify ATS.
TAE Technologies,nuclear-fusion,LA (Foothill Ranch),C,unknown,"business, finance, ops",greenhouse,taetechnologies,false,false,,unknown,,2026-08-24,Fusion (Tier C). Candidate Greenhouse token — verify; include only if non-eng role found.; feed error 2026-08-03; feed error 2026-08-10; feed error 2026-08-17; feed error 2026-08-24
